,Entry_Date,Direction,Buy_Price,Buy_Exit_Price,Exit_Date,PnL
0,2018-02-26,,25687.9,25383.6,2018-02-27,-304.3
1,2018-03-14,,24851.65,24791.85,2018-03-15,-59.8
2,2018-03-27,,24434.15,24263.35,2018-03-28,-170.8
3,2018-04-03,,24510.6,24129.5,2018-04-04,-381.1
4,2018-04-05,,24759.8,25098.25,2018-04-11,338.45
5,2018-04-24,,25042.1,24814.4,2018-04-25,-227.7
6,2018-04-26,,25010.9,26131.0,2018-05-10,1120.1
7,2018-05-24,,26016.8,26614.25,2018-05-28,597.45
8,2018-05-30,,26327.8,26692.8,2018-06-01,365.0
9,2018-06-06,,26367.6,26451.35,2018-06-08,83.75
10,2018-06-20,,26557.7,26496.95,2018-06-21,-60.75
11,2018-07-04,,26433.95,26493.85,2018-07-06,59.9
12,2018-07-10,,26894.55,26816.2,2018-07-11,-78.35
13,2018-07-17,,27008.1,26880.9,2018-07-18,-127.2
14,2018-08-20,,28274.25,28257.9,2018-08-21,-16.35
15,2018-08-27,,28264.2,28224.1,2018-08-29,-40.1
16,2018-10-10,,25321.7,24783.95,2018-10-11,-537.75
17,2018-10-12,,25395.85,25388.05,2018-10-15,-7.8
18,2018-10-22,,25078.6,24972.45,2018-10-23,-106.15
19,2018-10-31,,25153.25,25598.0,2018-11-06,444.75
20,2018-12-07,,26594.3,26102.65,2018-12-10,-491.65
21,2018-12-12,,26643.85,27275.1,2018-12-20,631.25
22,2018-12-26,,26986.8,26878.55,2018-12-27,-108.25
23,2019-01-01,,27392.4,27174.7,2019-01-02,-217.7
24,2019-01-04,,27195.0,27528.55,2019-01-10,333.55
25,2019-01-15,,27400.75,27456.7,2019-01-18,55.95
26,2019-01-31,,27295.45,27085.95,2019-02-01,-209.5
27,2019-02-04,,27186.6,27387.15,2019-02-07,200.55
28,2019-02-11,,27227.8,27010.75,2019-02-12,-217.05
29,2019-02-21,,27052.4,26867.55,2019-02-22,-184.85
30,2019-02-25,,27159.25,26952.95,2019-02-26,-206.3
31,2019-03-01,,27043.9,27761.8,2019-03-08,717.9
32,2019-04-12,,29938.55,30104.25,2019-04-15,165.7
33,2019-04-16,,30531.35,30223.4,2019-04-18,-307.95
34,2019-04-26,,30013.5,29764.8,2019-04-30,-248.7
35,2019-05-03,,29954.15,29618.45,2019-05-06,-335.7
36,2019-05-17,,29450.15,30308.4,2019-05-21,858.25
37,2019-05-23,,30409.1,31597.9,2019-05-28,1188.8
38,2019-06-07,,31066.55,31034.0,2019-06-10,-32.55
39,2019-06-20,,30781.1,30628.35,2019-06-21,-152.75
40,2019-06-25,,30847.05,31105.2,2019-06-28,258.15
41,2019-07-01,,31372.2,31283.3,2019-07-02,-88.9
42,2019-08-16,,28217.0,28186.1,2019-08-19,-30.9
43,2019-08-26,,27951.35,27804.3,2019-08-28,-147.05
44,2019-09-09,,27504.65,27855.0,2019-09-16,350.35
45,2019-09-17,,27131.75,26757.65,2019-09-19,-374.1
46,2019-09-20,,28981.55,30183.1,2019-09-24,1201.55
47,2019-10-09,,28785.85,28013.45,2019-10-10,-772.4
48,2019-10-15,,28555.1,28538.8,2019-10-16,-16.3
49,2019-10-18,,29120.25,29107.95,2019-10-24,-12.3
50,2019-12-12,,31665.45,31974.2,2019-12-16,308.75
51,2019-12-18,,32244.25,32241.45,2019-12-19,-2.8
52,2019-12-20,,32384.95,32339.45,2019-12-23,-45.5
